lat,lon,housenumber,street,city
53.1493475,18.1738503,2,Wyzwolenia,Bydgoszcz
53.2087312,19.1713576,92,,
53.1875015,19.0367329,22,,
53.5891867,17.8608018,2,Krzywa,Tuchola
53.2041004,17.9508356,8,Biwakowa,Bydgoszcz
52.9933649,18.5940605,69,Poznańska,Toruń
53.0154432,18.6010365,2,Czerwona Droga,Toruń
53.0482936,19.4359747,142,Warszawska,Rypin
52.6581739,19.0643946,13,Wojska Polskiego,Włocławek
53.06289,19.41155,40,Warszawska,Rypin
53.0652058,19.3995855,35,Sportowa,Rypin
53.06269,19.41219,42,Warszawska,Rypin
53.06296,19.41148,40,Warszawska,Rypin
53.26003,19.38656,7,Sądowa,Brodnica
53.2597846,19.3586949,40,Sądowa,Brodnica
52.9346173,19.2645874,54,,
52.8765728,19.3690744,4,Warszawska,Skępe
53.06188,19.42434,36,Ogrodowa,Rypin
53.2557429,19.4024753,32,Duży Rynek,Brodnica
53.1992656,19.6434352,16,Pocztowa,Górzno
53.0618,19.41968,13,Ogrodowa,Rypin
53.1988681,19.6447788,10,Pocztowa,Górzno
53.24685,19.40874,8,Stanisława Wyspiańskiego,Brodnica
53.25572,19.40443,5,Pocztowa,Brodnica
53.0651219,19.4186274,2A,Księdza Czesława Lissowskiego,Rypin
53.06594,19.41181,14,Mławska,Rypin
53.1983047,19.6447375,4,Rynek,Górzno
53.2598031,19.3584682,40,Sądowa,Brodnica
53.2515522,19.3991958,5,Piwna,Brodnica
53.0704172,19.4221191,3,Koszarowa,Rypin
53.1984739,19.6440522,23,Rynek,Górzno
53.25503,19.40485,25,Jana Kilińskiego,Brodnica
53.06661,19.40731,7,Jana Kilińskiego,Rypin
53.06513,19.39648,21B,Lipnowska,Rypin
53.0251437,18.6949338,13,Kosynierów Kościuszkowskich,Toruń
53.1266242,17.9796089,3,Wrocławska,Bydgoszcz
53.2931721,18.6924121,2,Wybudowanie Wąbrzeskie,Lisewo
53.2932568,18.6949574,3,Wybudowanie Wąbrzeskie,Lisewo
53.2760694,18.9465317,38,Wolności,
53.28019,18.94073,26,Chełmińska,Wąbrzeźno
53.2798327,18.9460486,12,Plac Jana Pawła II,Wąbrzeźno
53.2785572,18.9470384,10,Wolności,Wąbrzeźno
53.27959,18.94738,4,Plac Jana Pawła II,Wąbrzeźno
53.2801981,18.9477365,23,Plac Jana Pawła II,Wąbrzeźno
53.2816213,18.9521135,37,1 Maja,Wąbrzeźno
53.2800691,18.9513195,27,1 Maja,Wąbrzeźno
53.2853224,18.943643,46,Grudziądzka,Wąbrzeźno
53.2853032,18.9435571,11,Tysiąclecia,Wąbrzeźno
53.2852891,18.943361,11,Tysiąclecia,Wąbrzeźno
53.2857869,18.9458048,3,Tysiąclecia,Wąbrzeźno
53.38589,18.93763,22,Plac Towarzystwa Jaszczurczego,Radzyń Chełmiński
53.4607232,18.7279122,26,Jana i Jędrzeja Śniadeckich,Grudziądz
53.4773086,18.7463305,68,Chełmińska,Grudziądz
53.48348,18.7494787,16,Józefa Włodka,Grudziądz
53.4852499,18.7513404,7-11,Józefa Włodka,Grudziądz
53.48417,18.7543887,3,Dworcowa,Grudziądz
53.49353,18.74919,15,Kościelna,Grudziądz
53.4930608,18.7496361,6/8,Starorynkowa,Grudziądz
53.496286,18.7553128,43,Józefa Wybickiego,Grudziądz
53.49639,18.75564,43,Józefa Wybickiego,Grudziądz
53.496007,18.754521,39,Józefa Wybickiego,Grudziądz
53.4919187,18.7793861,39,Ignacego Łyskowskiego,Grudziądz
53.0724772,17.8262568,32,Poznańska,Zamość
52.9692673,18.0921873,12,Bydgoska,Nowa Wieś Wielka
53.028251,18.0132313,18D,Łabiszyńska,Brzoza
53.02877,18.01363,2,Przemysłowa,Brzoza
53.0449329,18.0029667,15A,Bydgoska,Brzoza
53.09497,17.91089,38,Barycka,Białe Błota
53.0990253,17.9205048,11,Guliwera,Białe Błota
53.1361566,17.8981036,42,Lisia,Bydgoszcz
53.1356369,17.8995685,1,Prądy,Bydgoszcz
53.1360034,17.9012713,32,Lisia,Bydgoszcz
53.10698,17.99153,78,Bielicka,Bydgoszcz
53.108156,17.9895233,4c,Inowrocławska,Bydgoszcz
53.1117481,18.0074684,2,Marii Konopnickiej,Bydgoszcz
53.1120845,18.0081489,71,Kujawska,Bydgoszcz
53.121282,17.9978294,18,Długa,Bydgoszcz
53.12076,17.99839,2,Trybunalska,Bydgoszcz
53.121054,17.9998326,37,Długa,Bydgoszcz
53.1210379,17.9999641,37,Długa,Bydgoszcz
53.1216618,17.9997345,1,Stefana Batorego,Bydgoszcz
53.1215922,17.9994498,2,Stefana Batorego,Bydgoszcz
53.1215327,18.0002816,18,Teofila Magdzińskiego,
53.122144,18.0018727,3,Kręta,Bydgoszcz
53.128695,18.0035313,16,Pomorska,Bydgoszcz
53.1191223,18.0076781,12,Toruńska,Bydgoszcz
53.1372078,17.9564772,203,Grunwaldzka,Bydgoszcz
53.1496824,17.967109,22,Łobżenicka,Bydgoszcz
53.1319331,17.9946931,71,Dworcowa,Bydgoszcz
53.1325019,17.9949787,1A,Aleksandra Fredry,Bydgoszcz
53.1304762,18.0085071,50,Gdańska,Bydgoszcz
53.1310797,18.0091938,58,Gdańska,Bydgoszcz
53.1365286,18.0167902,140,Gdańska,Bydgoszcz
53.1070549,18.0366459,12,Wojska Polskiego,Bydgoszcz
53.1075428,18.0368738,12,Wojska Polskiego,Bydgoszcz
53.1204265,18.0188053,2,Żupy,Bydgoszcz
53.1246508,18.0173392,39-47,Jagiellońska,Bydgoszcz
53.120814,18.0310809,94b,Jagiellońska,Bydgoszcz
53.12546,18.07836,201,Fordońska,Bydgoszcz
53.126462,18.0828382,225,Fordońska,Bydgoszcz
53.1252245,18.1042517,21a,Przemysłowa,Bydgoszcz
53.1387109,18.0277525,48,Józefa Sułkowskiego,Bydgoszcz
53.1400402,18.0282676,13,Józefa Sułkowskiego,Bydgoszcz
53.1401819,18.028406,13,Józefa Sułkowskiego,Bydgoszcz
53.1396129,18.0297992,11,Czerkaska,Bydgoszcz
53.139651,18.0297055,11,Czerkaska,Bydgoszcz
53.140588,18.0297251,52,Józefa Sułkowskiego,Bydgoszcz
53.1412864,18.0264988,16,11 Listopada,Bydgoszcz
53.1414511,18.0275161,15,11 Listopada,Bydgoszcz
53.1415961,18.0298897,17,Józefa Sułkowskiego,Bydgoszcz
53.1715485,18.0519195,252,Gdańska,Bydgoszcz
53.1371149,18.1159876,3,Mariana Rejewskiego,Bydgoszcz
53.1567,18.11745,4,Pod Skarpą,Bydgoszcz
53.1512133,18.1749866,11,Pielęgniarska,Bydgoszcz
53.2736315,17.9660375,7,Nad Kanałem,Samociążek
53.3339457,18.1975662,9,Dworcowa,Pruszcz
53.35106,18.42759,3,Podmurna,Chełmno
53.4038574,18.4078131,9,Wojska Polskiego,Świecie
53.4052066,18.4257066,56,Wojska Polskiego,Świecie
53.4071199,18.4272944,1,Księdza Stanisława Krausego,Świecie
53.4070954,18.4272859,1,Księdza Stanisława Krausego,Świecie
53.4070978,18.4272262,1,Księdza Stanisława Krausego,Świecie
53.4070478,18.4325022,79,Wojska Polskiego,Świecie
53.4070009,18.4356212,80,Wojska Polskiego,Świecie
53.409,18.4481,20,Adama Mickiewicza,Świecie
53.409631,18.4469616,139,Wojska Polskiego,Świecie
53.4092324,18.4473916,112,Wojska Polskiego,Świecie
53.4095537,18.4468532,139,Wojska Polskiego,Świecie
53.4097546,18.4474991,139,Wojska Polskiego,Świecie
53.4073035,18.4510954,4,Księcia Grzymisława,Świecie
53.4088222,18.4494796,14,Klasztorna,Świecie
53.4088674,18.4509744,16,Duży Rynek,Świecie
53.4090273,18.4517213,1,Duży Rynek,Świecie
53.4090637,18.4514291,1,Duży Rynek,Świecie
53.4097645,18.45003,2,Mestwina,Świecie
53.406839,18.4523721,5,,Świecie
53.4086876,18.4525124,6,Duży Rynek,Świecie
53.4085213,18.4525194,7,Duży Rynek,Świecie
53.4079974,18.4516689,11,Duży Rynek,Świecie
53.4080258,18.4521396,9,Duży Rynek,Świecie
53.4083398,18.4525356,7/1,Duży Rynek,Świecie
53.4088745,18.4529454,4,Duży Rynek,Świecie
53.409727,18.4522187,1,Stefana Batorego,Świecie
53.4093469,18.4526634,4,Stefana Batorego,Świecie
53.4074284,18.4562732,18,Sądowa,Świecie
53.4101662,18.4495143,147,Wojska Polskiego,Świecie
53.4102457,18.4502983,153,Wojska Polskiego,Świecie
53.41267,18.44982,8,Generała Józefa Hallera,Świecie
53.410149,18.4539873,14,Podgórna,Świecie
53.4104438,18.4532445,124,Wojska Polskiego,Świecie
53.0093088,18.6038845,15/17,Mikołaja Kopernika,Toruń
53.1869187,18.0719821,2U,Centralna,Osielsko
53.186978,18.0719638,2b,Centralna,Osielsko
52.969367,18.0907639,15A,Bydgoska,Nowa Wieś Wielka
52.6485796,19.0703608,27,Chopina,Włocławek
53.1223729,18.000054,1,Stary Rynek,Bydgoszcz
53.1221373,17.9951292,7,Mennica,Bydgoszcz
53.1209339,18.6253513,41,,
53.0905839,18.6215539,6A,Gdańska,Łysomice
53.0247139,18.6644058,109,Szosa Lubicka,Toruń
53.6441646,18.7247199,29,Bydgoska,Nowe
53.1187983,17.968428,51,Ludwika Waryńskiego,Bydgoszcz
53.1540243,18.1245209,2,Stanisława Brzęczkowskiego,Bydgoszcz
53.1323883,17.9942196,75,Dworcowa,Bydgoszcz
53.1667726,18.1635351,99,Wyzwolenia,Bydgoszcz
53.1248206,18.0025739,5,Gdańska,Bydgoszcz
53.1266872,18.0194112,4,Ryszarda Berwińskiego,Bydgoszcz
53.1250548,18.0253498,4,Marii Skłodowskiej-Curie,Bydgoszcz
53.1245639,18.0007695,14,Marszałka Ferdynanda Focha,Bydgoszcz
53.1214093,17.9963417,7,Wełniany Rynek,Bydgoszcz
53.1223377,18.0002752,3,Stary Rynek,Bydgoszcz
53.1211421,17.9982703,22,Długa,Bydgoszcz
53.1254607,18.0041231,10,Gdańska,Bydgoszcz
53.0888581,19.08037,20,,
53.1247387,17.999378,24,Marszałka Ferdynanda Focha,Bydgoszcz
53.1224753,18.022441,66,Jagiellońska,Bydgoszcz
53.1247176,17.9995763,22,Marszałka Ferdynanda Focha,Bydgoszcz
53.0122808,18.6014999,15,Wały Generała Władysława Sikorskiego,Toruń
53.3487486,18.4231642,5,Rynek,Chełmno
52.6545289,19.0647465,4,Tadeusza Kościuszki,Włocławek
53.5985889,18.3459747,14,Rynek,Osie
52.6386921,19.0495183,89,Kaliska,Włocławek
53.4940057,18.7512027,1,Rynek Rybny,Grudziądz
53.350852,18.429953,3,Dworcowa,Chełmno
52.7968208,18.2532066,5/7,Grodzka,Inowrocław
52.6996624,18.9678119,222,Toruńska,Włocławek
52.7860703,18.2521202,2,Generała Franciszka Kleeberga,Inowrocław
53.2553804,19.4033235,13,Duży Rynek,Brodnica
53.0239513,18.6757833,7,Ludwika Ślaskiego,Toruń
53.477763,18.7464854,68,Chełmińska,Grudziądz
53.1319774,18.0095287,83,Gdańska,Bydgoszcz
52.8945206,18.4084933,32,Króla Jana III Sobieskiego,Gniewkowo
53.1383978,17.6025912,12,Pocztowa,Nakło nad Notecią
52.7942357,18.2655699,19,Andrzeja,Inowrocław
52.6396,19.051,87A,Kaliska,Włocławek
53.13613,18.0146109,128,Gdańska,Bydgoszcz
53.4908,18.7526,19,Henryka Sienkiewicza,Grudziądz
53.4512,17.5316,13,Generała Józefa Hallera,Sępólno Krajeńskie
52.6546197,19.0647579,4,Tadeusza Kościuszki,Włocławek
53.016,18.6014907,17,Szosa Chełmińska,Toruń
53.1075,18.0519,35,Aleje Prezydenta Lecha Kaczyńskiego,Bydgoszcz
53.015946,18.6015215,17,Szosa Chełmińska,Toruń
53.2555,19.4033,10,Duży Rynek,Brodnica
52.6529,19.0676,2/4/6,Warszawska,Włocławek
53.1360343,17.5998317,3,Generała Józefa Hallera,Nakło nad Notecią
53.1174,18.0352,101,Toruńska,Bydgoszcz
52.6451863,19.0979813,25,Łanowa,Włocławek
53.0319,18.6936,8,Olsztyńska,Toruń
53.4125663,18.4434779,3,Henryka Sienkiewicza,Świecie
53.5851531,17.8693762,28,Piastowska,Tuchola
53.2538618,19.4018204,1,Mostowa,Brodnica
52.6583,17.9555,2,Józefa Hallera,Mogilno
52.6531,19.0674,2/4/6,Warszawska,Włocławek
53.1518018,17.9185202,30,Świętego Maksymiliana Kolbego,Bydgoszcz
53.0237011,18.6818563,10A,Kardynała Stefana Wyszyńskiego,Toruń
53.4907,18.7525,19,Henryka Sienkiewicza,Grudziądz
53.5871,17.8613,1,Bartłomieja Nowodworskiego,Tuchola
52.6660676,19.0400731,10,Pogodna,Włocławek
53.4783588,18.746405,68,Chełmińska,Grudziądz
53.5874,17.8616,3,Bartłomieja Nowodworskiego,Tuchola
53.1388185,18.024382,1,Józefa Dwernickiego,Bydgoszcz
53.1075118,18.0129918,115,Aleja Jana Pawła II,Bydgoszcz
53.0121941,18.6107941,21,Rynek Nowomiejski,Toruń
53.4891,18.7501,42,Aleja 23 Stycznia,Grudziądz
53.1073367,18.0326318,3,Magnuszewska,Bydgoszcz
53.1319558,18.0094574,83,Gdańska,Bydgoszcz
52.6375827,19.0483448,93a,Kaliska,Włocławek
53.4843936,18.7514541,15,Józefa Włodka,Grudziądz
53.4071,18.4496,20,Adama Mickiewicza,Świecie
53.0159506,18.6014211,17,Szosa Chełmińska,Toruń
52.6387303,19.0495614,89,Kaliska,Włocławek
52.6559962,19.0634731,5,Jana Kilińskiego,Włocławek
53.4678627,18.7549422,45,Stanisława Konarskiego,Grudziądz
52.7965892,18.2579,20,Królowej Jadwigi,Inowrocław
52.8415,19.1763,46,Adama Mickiewicza,Lipno
53.4939949,18.7511845,1,Rynek Rybny,Grudziądz
53.3508482,18.429979,3,Dworcowa,Chełmno
53.1359924,17.5998102,3,Generała Józefa Hallera,Nakło nad Notecią
53.2536,19.3994,6,Henryka Sienkiewicza,Brodnica
52.6544754,19.0647069,6,Tadeusza Kościuszki,Włocławek
53.4783253,18.7463996,68,Chełmińska,Grudziądz
53.1074757,18.0518749,35,Aleje Prezydenta Lecha Kaczyńskiego,Bydgoszcz
53.28,18.953,43,1 Maja,Wąbrzeźno
53.4511723,17.5316045,13,Generała Józefa Hallera,Sępólno Krajeńskie
52.6735761,18.3224986,9,Rynek,
53.1316671,18.0096818,66/68,Gdańska,Bydgoszcz
52.6467594,19.097273,26/74,Polna,Włocławek
52.7801047,18.2419695,33,Wojska Polskiego,Inowrocław
53.1232,18.016,42,Jagiellońska,Bydgoszcz
53.4843301,18.7515286,15,Józefa Włodka,Grudziądz
53.484256,18.7508495,16b,Józefa Włodka,Grudziądz
53.1367615,17.6004328,7,Rynek,Nakło nad Notecią
52.6582434,17.9556406,2,Józefa Hallera,Mogilno
53.2537974,19.4017741,1,Mostowa,Brodnica
53.1370756,18.1135593,3,Mariana Rejewskiego,Bydgoszcz
53.4679,18.755,45,Stanisława Konarskiego,Grudziądz
52.8472546,17.7239386,2,Śniadeckich,Żnin
53.0319427,18.6935868,8,Olsztyńska,Toruń
53.16,18.1616,3,Stanisława Witkiewicza,Bydgoszcz
53.5192911,19.0872686,21,Rynek,Łasin
53.1379,18.1093,5,Mariana Rejewskiego,Bydgoszcz
53.4843,18.7515987,15,Józefa Włodka,Grudziądz
52.6584292,17.9554395,2,Józefa Hallera,Mogilno
52.7843495,18.246876,10,Wojska Polskiego,Inowrocław
52.6667099,19.0406206,5,Promienna,Włocławek
53.1327,17.9284,156,Nakielska,Bydgoszcz
53.40885,18.4497023,14,Klasztorna,Świecie
53.2802929,18.9477364,23,Plac Jana Pawła II,Wąbrzeźno
53.1302595,18.0084516,1,Juliusza Słowackiego,Bydgoszcz
53.1166218,17.9700679,83,Szubińska,Bydgoszcz
53.4089045,18.4480977,20,Adama Mickiewicza,Świecie
53.1572824,18.1555238,8,Stanisława Skarżyńskiego,Bydgoszcz
53.4087783,18.4510181,16,Duży Rynek,Świecie
53.1302846,18.0083757,1,Juliusza Słowackiego,Bydgoszcz
53.0140896,18.6044492,19,Wały Generała Władysława Sikorskiego,Toruń
53.0131157,18.6120074,2,Leona Szumana,Toruń
53.0280299,18.6579255,29/35,Ignacego Łyskowskiego,Toruń
53.0281843,18.658878,29/35,Ignacego Łyskowskiego,Toruń
53.1217014,18.0025247,3,Podwale,Bydgoszcz
53.1219821,17.9985767,16,Jezuicka,Bydgoszcz
