lat,lon,housenumber,street,city
51.5462299,14.7247511,14,Bauhof,Bad Muskau
51.7879877,14.9707764,7,Mikołaja Kopernika,Lubsko
51.7801679,14.9827117,87,Wrocławska,Lubsko
51.7856713,14.9763402,3,Bohaterów,Lubsko
51.7897651,14.9731393,31,Krakowskie Przedmieście,Lubsko
51.7858812,14.9688157,17,Mikołaja Reja,Lubsko
52.1043126,15.7718506,43,Stare Kramsko,
51.550394,14.7152548,47,Berliner Straße,Bad Muskau
51.9517028,14.7106528,33,Mittelstraße,Guben
52.5679107,14.6112807,49A,Karl-Marx-Straße,Küstriner Vorland
52.4269602,14.5333647,42,Kietzer Chaussee,Lebus
52.2411896,14.7021531,7,Dorfstraße,Ziltendorf
52.3450374,14.5504767,186,Karl-Marx-Straße,Frankfurt (Oder)
52.345777,14.5545127,42,Große Oderstraße,
52.3365359,14.5466945,11,Bahnhofsplatz,Frankfurt (Oder)
52.3513967,14.5614972,5,Plac Przyjaźni,Słubice
52.3474085,14.5508077,13,Slubicer Straße,Frankfurt (Oder)
52.3488354,14.5529328,10,Collegienstraße,Frankfurt (Oder)
52.3434981,14.5572723,"6,7",Faberstraße,Frankfurt (Oder)
52.3463274,14.5536584,1,Kleine Oderstraße,Frankfurt (Oder)
52.3463045,14.5533866,2,Kleine Oderstraße,Frankfurt (Oder)
52.3462808,14.5531046,3,Kleine Oderstraße,Frankfurt (Oder)
52.3467767,14.5541368,48,Große Oderstraße,Frankfurt (Oder)
52.3464381,14.5546963,1,Brücktorstraße,Frankfurt (Oder)
52.3464709,14.5549299,2,Brücktorstraße,Frankfurt (Oder)
52.3465016,14.5551489,3,Brücktorstraße,Frankfurt (Oder)
52.3449318,14.5543376,17,Carl-Philipp-Emanuel-Bach-Straße,Frankfurt (Oder)
52.3449027,14.55405,18,Carl-Philipp-Emanuel-Bach-Straße,Frankfurt (Oder)
52.3448861,14.5538642,19,Carl-Philipp-Emanuel-Bach-Straße,Frankfurt (Oder)
52.3448578,14.5535961,20,Carl-Philipp-Emanuel-Bach-Straße,Frankfurt (Oder)
52.3448334,14.5533293,21,Carl-Philipp-Emanuel-Bach-Straße,Frankfurt (Oder)
52.3448157,14.5531001,22,Carl-Philipp-Emanuel-Bach-Straße,Frankfurt (Oder)
52.3440358,14.553433,4,Marktplatz,Frankfurt (Oder)
52.3449917,14.5547345,38,Große Oderstraße,Frankfurt (Oder)
52.3451444,14.5546816,39,Große Oderstraße,Frankfurt (Oder)
52.3452929,14.5546302,40,Große Oderstraße,Frankfurt (Oder)
52.3454387,14.5545797,41,Große Oderstraße,Frankfurt (Oder)
52.3459278,14.554378,43,Große Oderstraße,Frankfurt (Oder)
52.3460154,14.554348,44,Große Oderstraße,Frankfurt (Oder)
52.346165,14.5542966,45,Große Oderstraße,Frankfurt (Oder)
52.3463135,14.5542457,46,Große Oderstraße,Frankfurt (Oder)
52.3466335,14.5541876,47,Große Oderstraße,Frankfurt (Oder)
52.3459337,14.5540125,19,Große Oderstraße,Frankfurt (Oder)
52.3458009,14.5540535,20,Große Oderstraße,Frankfurt (Oder)
52.3452549,14.5541968,24,Große Oderstraße,Frankfurt (Oder)
52.3454884,14.5541235,22,Große Oderstraße,Frankfurt (Oder)
52.3456809,14.5540905,21,Große Oderstraße,Frankfurt (Oder)
52.3453813,14.5541571,23,Große Oderstraße,Frankfurt (Oder)
52.3455594,14.5548762,7,Forststraße,Frankfurt (Oder)
52.3455789,14.555052,6,Forststraße,Frankfurt (Oder)
52.3455984,14.5552274,5,Forststraße,Frankfurt (Oder)
52.3430184,14.553528,62,Große Scharrnstraße,Frankfurt (Oder)
52.3391998,14.5562528,88,Fischerstraße,Frankfurt (Oder)
52.3445022,14.5576147,7,Holzmarkt,Frankfurt (Oder)
52.3435585,14.5516808,7,Karl-Marx-Straße,Frankfurt (Oder)
52.3439712,14.55151,9,Karl-Marx-Straße,Frankfurt (Oder)
52.3440713,14.5515116,10,Karl-Marx-Straße,Frankfurt (Oder)
52.3441722,14.5515014,11,Karl-Marx-Straße,Frankfurt (Oder)
52.3451791,14.5528786,14 A,Große Scharrnstraße,Frankfurt (Oder)
52.3455974,14.55279,17A,Große Scharrnstraße,Frankfurt (Oder)
52.345502,14.5513488,16,Karl-Marx-Straße,Frankfurt (Oder)
52.3456683,14.5513269,17,Karl-Marx-Straße,Frankfurt (Oder)
52.3464803,14.5511918,19,Karl-Marx-Straße,Frankfurt (Oder)
52.3466507,14.5511517,20,Karl-Marx-Straße,Frankfurt (Oder)
52.346814,14.5511132,21,Karl-Marx-Straße,Frankfurt (Oder)
52.346973,14.5510757,22,Karl-Marx-Straße,Frankfurt (Oder)
52.3469355,14.5502449,176,Karl-Marx-Straße,Frankfurt (Oder)
52.3467749,14.5502681,177,Karl-Marx-Straße,Frankfurt (Oder)
52.3466169,14.5502909,178,Karl-Marx-Straße,Frankfurt (Oder)
52.3464551,14.5503143,179,Karl-Marx-Straße,Frankfurt (Oder)
52.3462991,14.5503368,180,Karl-Marx-Straße,Frankfurt (Oder)
52.3455471,14.5504415,183,Karl-Marx-Straße,Frankfurt (Oder)
52.3453697,14.5504657,184,Karl-Marx-Straße,Frankfurt (Oder)
52.3451864,14.5504907,185,Karl-Marx-Straße,Frankfurt (Oder)
52.3450314,14.5505119,186,Karl-Marx-Straße,Frankfurt (Oder)
52.344633,14.550577,187,Karl-Marx-Straße,Frankfurt (Oder)
52.3444452,14.5506034,188,Karl-Marx-Straße,Frankfurt (Oder)
52.344073,14.5506557,190,Karl-Marx-Straße,Frankfurt (Oder)
52.3438942,14.5506808,191,Karl-Marx-Straße,Frankfurt (Oder)
52.3429004,14.5506971,193,Karl-Marx-Straße,Frankfurt (Oder)
52.3491233,14.5577112,1,Jedności Robotniczej,Słubice
52.3424907,14.5514781,8,Logenstraße,Frankfurt (Oder)
52.3520724,14.5604021,23,Plac Przyjaźni,Słubice
51.5163903,14.7628518,68,Skerbersdorfer Straße,Krauschwitz
52.5804748,14.6395063,1,Władysława Sikorskiego,Kostrzyn nad Odrą
52.3476579,14.8269161,26,Dworcowa,Rzepin
52.5684775,14.6077687,3,Bahnhofsweg,Küstriner Vorland
51.5420435,14.7264368,7,Görlitzer Straße,Bad Muskau
51.5432548,14.7230531,36,Schmelzstraße,Bad Muskau
51.5651046,15.5408954,23,Młynarska,Szprotawa
51.5554334,15.4502286,7,Piastowska,Małomice
52.1664461,15.8345542,12,Lotnicza,Babimost
52.3546065,14.5644598,13,Józefa Piłsudskiego,Słubice
51.5396868,14.7341149,3b,Graniczna,Łęknica
53.0066625,15.9541998,26,,
51.6165454,15.3287289,19,Józefa Piłsudskiego,Żagań
51.9484231,14.7265586,1,Generała Władysława Andersa,Gubin
51.9513896,14.7174194,19,Frankfurter Straße,Guben
52.4399173,15.113297,10,Tadeusza Kościuszki,Sulęcin
52.3559101,14.5422783,6,Pflaumenweg,Frankfurt (Oder)
52.3625705,14.5383183,25,Kliestower Weg,Frankfurt (Oder)
52.3585697,14.5493385,5,Am Winterhafen,Frankfurt (Oder)
52.3457543,14.5425905,14,Franz-Mehring-Straße,Frankfurt (Oder)
52.3463716,14.5431083,39,Rosa-Luxemburg-Straße,Frankfurt (Oder)
52.347962,14.5498228,172,Karl-Marx-Straße,Frankfurt (Oder)
52.3426348,14.5442439,1,,Frankfurt (Oder)
52.3422426,14.5521159,8,Logenstraße,Frankfurt (Oder)
52.342398,14.5520171,8,Logenstraße,Frankfurt (Oder)
51.5562369,14.7093563,68,Köbelner Straße,Bad Muskau
51.550993,14.714464,10,Berliner Chaussee,Bad Muskau
52.3534479,14.5581877,20b,Mikołaja Kopernika,Słubice
52.5633307,14.8091993,17,3 Lutego,Słońsk
51.9382171,14.6977026,8,Otto-Nuschke-Straße,Guben
52.3482233,14.561731,3A,Tadeusza Kościuszki,Słubice
52.3492979,14.5625607,3B,Stefana Żeromskiego,Słubice
52.3501347,14.5604556,24,Dąbrówki,Słubice
52.3502511,14.5595607,21,Adama Mickiewicza,Słubice
52.3519372,14.5603609,23B,Plac Przyjaźni,Słubice
52.3535183,14.5616295,2,Wojska Polskiego,Słubice
52.3558726,14.5765098,6,Tomasza Nocznickiego,Słubice
52.3427058,14.5518576,1,Karl-Marx-Straße,
52.3426485,14.553215,2,Karl-Marx-Straße,
51.5014066,15.2001811,12,Żagańska,Iłowa
51.5014846,15.2001977,14,Żagańska,Iłowa
51.5001707,15.2010874,8,Plac Wolności,Iłowa
51.9361611,15.5110342,17,Wrocławska,Zielona Góra
51.9358257,15.5107987,17,Wrocławska,Zielona Góra
51.936157,15.511886,17,Wrocławska,Zielona Góra
52.4244531,14.5422327,22,Kietzer Straße,Lebus
51.9557288,14.7471387,1A,Gdyńska,Gubin
51.9551597,14.7487561,111A,Kresowa,Gubin
51.949306,14.7288364,2,Zygmunta Krasińskiego,Gubin
51.9495114,14.727707,1,Obrońców Pokoju,Gubin
51.9311751,15.4847509,24,Stefana Wyszyńskiego,Zielona Góra
51.9064217,15.5073438,14,Makowa,Zielona Góra
51.906229,15.5074376,14,Makowa,Zielona Góra
52.3524552,14.5371822,5,Hansaplatz,Frankfurt (Oder)
52.3523357,14.5371813,5,Hansaplatz,Frankfurt (Oder)
51.9524536,14.7147,8,Berliner Straße,Guben
51.9481146,14.7016885,36,Sprucker Straße,Guben
51.9482055,14.7019174,36,Sprucker Straße,Guben
51.7815909,14.9792258,61,Wrocławska,Lubsko
51.7819816,14.9796635,3,Leopolda Staffa,Lubsko
51.7816612,14.9790169,57,Wrocławska,Lubsko
51.7815953,14.9791206,59,Wrocławska,Lubsko
52.7356986,15.2792225,225,Warszawska,Gorzów Wielkopolski
51.9353335,15.5117549,17,Wrocławska,Zielona Góra
52.7495884,15.2435356,30,Walerego Wróblewskiego,Gorzów Wielkopolski
51.9303681,15.4904962,18,Stefana Wyszyńskiego,Zielona Góra
52.7258759,15.2047452,6,Słoneczna,Gorzów Wielkopolski
52.0700858,14.7521558,1,Am Oderdamm,Neißemünde
52.2484065,15.5361192,35a,Józefa Piłsudskiego,Świebodzin
51.499754,15.1983666,3A,Kolejowa,Iłowa
52.4413829,15.1125674,16,Plac Stefana Czarnieckiego,Sulęcin
51.9439724,15.4728141,3B/10,Agrestowa,Zielona Góra
51.9422202,15.5058515,13,Bohaterów Westerplatte,Zielona Góra
51.9440539,15.5095233,23a,Bohaterów Westerplatte,Zielona Góra
51.8778653,16.0712658,1a,Ludwika Waryńskiego,Sława
52.5927843,15.4935784,15a,2 Lutego,Skwierzyna
51.779901,14.9845748,1,Władysława Reymonta,Lubsko
51.8143624,16.3074783,20,Wolsztyńska,Wschowa
52.7400121,15.2273999,44,Kosynierów Gdyńskich,Gorzów Wielkopolski
52.2396364,15.5358262,51,,Świebodzin
51.9354,15.5061,9,Generała Władysława Sikorskiego,Zielona Góra
51.7523643,15.0119872,28,Jana Pawła II,Jasień
51.7456352,15.594559,20,Rynek,Kożuchów
51.9352892,15.5118869,17,Wrocławska,Zielona Góra
52.0764336,15.6142213,5,Południowa,Sulechów
52.0864879,15.6222353,5,Aleja Niepodległości,Sulechów
51.8022,15.7201,9,Stanisława Moniuszki,Nowa Sól
52.3003312,15.2467703,37/1,,
52.5868025,14.6535655,1,Żeglarska,Kostrzyn nad Odrą
52.085298,15.6257425,6,Plac Ratuszowy,Sulechów
51.6353724,15.1412566,12,Wrocławska,Żary
52.2485942,15.5345898,8,Głogowska,Świebodzin
52.749574,15.2433205,30,Walerego Wróblewskiego,Gorzów Wielkopolski
51.6170826,15.3172707,6,Plac Wolności,Żagań
52.2422224,15.816784,4,Plac Dworcowy,Zbąszynek
52.7399557,15.2274445,44,Kosynierów Gdyńskich,Gorzów Wielkopolski
51.9605338,15.4974007,81,Stefana Batorego,Zielona Góra
51.9423103,15.505645,13,Bohaterów Westerplatte,Zielona Góra
51.6388271,15.1329603,6,Broni Pancernej,Żary
51.8066382,16.3186785,3a,Niepodległości,Wschowa
52.0794,15.6136,2,Mieszka I,Sulechów
52.7468159,15.2547693,25,Franciszka Walczaka,Gorzów Wielkopolski
52.4431202,15.567278,3,Osiedle Kasztelańskie,Międzyrzecz
