lat,lon,housenumber,street,city
50.2508925,17.34676,212,,
50.2511813,17.347105,211,,
50.2493888,17.3458113,77,,
50.2500388,17.3460188,76,,
50.2525863,17.3457224,111,,
50.2518826,17.3454975,110,,
50.2534638,17.3457175,113,,
50.2531513,17.3455663,112,,
50.2540075,17.3455963,114,,
50.2540475,17.3458763,221,,
50.253755,17.346585,208,,
50.2539638,17.3465463,62,,
50.2535363,17.3462913,64,,
50.2515813,17.3471663,248,,
50.2522988,17.3471738,68,,
50.2528501,17.3464662,243,,
50.255535,17.3456113,233,,
50.2550538,17.3461663,117,,
50.2544013,17.3456225,115,,
50.2544538,17.3468863,231,,
50.2553063,17.3454713,119,,
50.255575,17.3468425,222,,
50.2546425,17.3471813,257,,
50.2546388,17.3467513,207,,
50.2552025,17.345895,256,,
50.2562463,17.3471163,121,,
50.2561251,17.3457663,125,,
50.2566013,17.3469388,122,,
50.2559963,17.3462338,223,,
50.2557063,17.3461488,151,,
50.2567526,17.3455738,161,,
50.2566776,17.3455525,162,,
50.2566176,17.3455138,163,,
50.2565476,17.345485,164,,
50.2564876,17.3454425,165,,
50.2618288,17.34222,130,,
50.2612601,17.3429763,129,,
50.2577763,17.3466538,21,,
50.2576013,17.34716,17,,
50.2566738,17.3495913,270,,
50.2566888,17.3487638,55,,
50.2563276,17.3480313,56,,
50.2576251,17.3477737,16,,
50.2581138,17.3498074,265,,
50.2581313,17.3492888,138,,
50.2570151,17.3486063,54,,
50.2575376,17.3493588,53,,
50.2578601,17.3496638,46,,
50.2578963,17.3500013,191,,
50.2580351,17.3497588,183,,
50.258505,17.3490613,229,,
50.2583613,17.349125,2,,
50.258635,17.35008,43,,
50.259535,17.349615,210,,
50.2591413,17.3494713,158,,
50.258525,17.3497349,254,,
50.2575288,17.3510062,49,,
50.2575026,17.3506425,50,,
50.2578038,17.3506325,180,,
50.2595813,17.3505724,205,,
50.2592375,17.35042,41,,
50.2594063,17.3504863,194,,
50.2597688,17.34983,3,,
50.2601175,17.3501188,6,,
50.2603701,17.3497638,5,,
50.2599388,17.349785,253,,
50.2608326,17.3515175,32,,
50.2605963,17.35089,33,,
50.2599238,17.35088,38,,
50.2597425,17.3514525,160,,
50.2605913,17.3510975,203,,
50.2605838,17.3503313,249,,
50.2605001,17.3516775,204,,
50.2600113,17.3505088,193,,
50.2623651,17.3513125,10,,
50.2612238,17.3505713,4,,
50.2621438,17.3522363,27,,
50.2614776,17.3516363,30,,
50.2617226,17.350785,9,,
50.2612251,17.3510488,8,,
50.2617801,17.3517175,29,,
50.2619288,17.3521588,238,,
50.2615201,17.35291,ev.3,,
50.2620413,17.3543513,269,,
50.2620726,17.3542763,268,,
50.2619801,17.3551238,219,,
50.2622413,17.355545,266,,
50.2621963,17.3558125,262,,
50.2623101,17.3548788,261,,
50.2624463,17.3536738,216,,
50.2621763,17.3534588,213,,
