lat,lon,housenumber,street,city
53.1404859,23.1406153,5,Wiatrakowa,Białystok
53.1419261,23.1398478,20A,Owsiana,Białystok
53.1447378,23.1362441,11,Narewska,Białystok
53.1432782,23.136816,5,Narewska,Białystok
53.1506151,23.1236458,8,Generała Józefa Hallera,Białystok
53.1525186,23.1298098,41B,Dziesięciny,Białystok
53.1538736,23.1168105,73,Gajowa,Białystok
54.2518788,23.1806201,23,Adama Mickiewicza,Puńsk
53.1297451,23.1582957,5,Legionowa,Białystok
53.1297519,23.158503,5,Legionowa,Białystok
53.1023947,23.1391236,27,Kawaleryjska,Białystok
52.33092,23.04509,81,Brzeska,Mielnik
53.1204982,23.0841444,1A,Litewska,Białystok
53.1240817,23.0747062,19,Anieli Krzywoń,Białystok
53.1266173,23.0780613,34,Nowosielska,Białystok
53.120008,23.08166,11,Litewska,Białystok
53.1162392,23.0779131,15,Wietnamska,Białystok
53.1170304,23.0824922,36,Polowa,Białystok
53.1241288,23.0993524,20,Wrocławska,Białystok
53.1236951,23.0987732,20,Wrocławska,Białystok
53.124058,23.0998781,20,Wrocławska,Białystok
53.1235912,23.0996743,20,Wrocławska,Białystok
53.1234842,23.0986311,20,Wrocławska,Białystok
53.1238938,23.0995482,20,Wrocławska,Białystok
53.1230944,23.0962013,2/4,Zielonogórska,Białystok
53.1182512,23.1042689,37,Zielonogórska,Białystok
53.1267724,23.0937123,71,Księdza Jerzego Popiełuszki,Białystok
53.1327769,23.101319,36,Wincentego Witosa,Białystok
53.1181141,23.0811077,1,Czeska,Białystok
53.1178592,23.0808816,2,Czeska,Białystok
53.1179271,23.0812108,3,Czeska,Białystok
53.1176332,23.0810148,4,Czeska,Białystok
53.1173836,23.0811774,6,Czeska,Białystok
53.1171661,23.0812761,8,Czeska,Białystok
53.1169625,23.0814014,10,Czeska,Białystok
53.1167936,23.0814911,12,Czeska,Białystok
53.1166128,23.0815882,14,Czeska,Białystok
53.1164123,23.0816964,16,Czeska,Białystok
53.1162106,23.0817891,18,Czeska,Białystok
53.1160131,23.0818918,20,Czeska,Białystok
53.115838,23.0818821,22,Czeska,Białystok
53.1156252,23.0818564,24,Czeska,Białystok
53.1174455,23.0815108,7,Czeska,Białystok
53.1172344,23.0815988,9,Czeska,Białystok
53.1170333,23.0816922,11,Czeska,Białystok
53.1170036,23.0817142,13,Czeska,Białystok
53.116743,23.0818131,15,Czeska,Białystok
53.1166738,23.081868,17,Czeska,Białystok
53.1159746,23.0821593,25,Czeska,Białystok
53.1158229,23.0821593,27,Czeska,Białystok
53.1156679,23.0821373,29,Czeska,Białystok
53.1177539,23.0801865,1,Mongolska,Białystok
53.117692,23.0799118,2,Mongolska,Białystok
53.1175395,23.0803033,3,Mongolska,Białystok
53.1174777,23.0800354,4,Mongolska,Białystok
53.1172568,23.0806136,5,Mongolska,Białystok
53.1172386,23.0801659,6,Mongolska,Białystok
53.1170756,23.0806657,7,Mongolska,Białystok
53.1169745,23.0803128,8,Mongolska,Białystok
53.1169015,23.0808057,9,Mongolska,Białystok
53.1168375,23.0804177,10,Mongolska,Białystok
53.1167368,23.0809334,11,Mongolska,Białystok
53.1166475,23.0804898,12,Mongolska,Białystok
53.1165626,23.0810118,13,Mongolska,Białystok
53.1165006,23.0806261,14,Mongolska,Białystok
53.1163912,23.0811315,15,Mongolska,Białystok
53.1163369,23.0806547,16,Mongolska,Białystok
53.1161877,23.0807506,18,Mongolska,Białystok
53.1160289,23.080795,20,Mongolska,Białystok
53.1158891,23.0807609,22,Mongolska,Białystok
53.1158477,23.0813669,21,Mongolska,Białystok
53.1160476,23.0813148,19,Mongolska,Białystok
53.1162328,23.08123,17,Mongolska,Białystok
53.1275768,23.0969667,1C,Armii Krajowej,Białystok
53.1265879,23.1614452,15A,Marii Skłodowskiej-Curie,Białystok
53.1412758,23.1476445,25,Sitarska,Białystok
53.0966992,23.1238743,20A,Zambrowska,Kleosin
53.1000765,23.1222735,11,Ojca Stefana Tarasiuka,Kleosin
53.1027818,23.1181881,6,Józefa Ignacego Kraszewskiego,Kleosin
53.1114691,23.1198283,16,Ekologiczna,Białystok
53.1156444,23.1353988,102,Generała Józefa Bema,Białystok
53.1154375,23.1348981,18,Pogodna,Białystok
53.1167037,23.1449812,43,Wiejska,Białystok
53.1157717,23.1287378,11,Składowa,Białystok
52.3324059,23.0442142,132,Brzeska,Mielnik
53.1165132,23.1406251,35,Pogodna,Białystok
53.1396654,22.9854312,31A,Dominikańska,Choroszcz
53.1135464,23.1397496,5,Zachodnia,Białystok
53.1128134,23.1380176,5B,Zachodnia,Białystok
53.1130848,23.1378472,5B,Zachodnia,Białystok
53.1137235,23.1429392,11C,Pogodna,Białystok
53.1132615,23.1384418,5A,Zachodnia,Białystok
53.1323898,23.1587714,10,Rynek Kościuszki,Białystok
53.5510865,22.9094631,58,,
53.1281934,23.1539628,9/1,Legionowa,Białystok
53.1285106,23.1529793,30,Legionowa,Białystok
54.20624,22.9150632,7,Sportowa,Jeleniewo
53.1662432,22.0579216,115a,Aleja Marszałka Józefa Piłsudskiego,Łomża
53.18,22.0771,8,Długa,Łomża
53.404608,22.7999074,4a,Wyzwolenia,Mońki
53.1266634,23.1710128,7,Mickiewicza,Białystok
53.1258,23.1689,15,Świętojańska,Białystok
53.1363878,23.1547283,13/1,Aleja Józefa Piłsudskiego,Białystok
53.1276817,23.0989138,17,Upalna,Białystok
54.1253664,22.9435381,2,Alfreda Wierusza-Kowalskiego,Suwałki
53.1259,23.1345,38,Mikołaja Kopernika,Białystok
53.1789425,22.0801797,24,Długa,Łomża
53.1354142,23.1179209,16,Hetmańska,Białystok
53.160927,23.0940972,86,Produkcyjna,Białystok
53.1789485,22.0801493,24,Długa,Łomża
52.9929,22.8804,15,Nowy Rynek,Łapy
53.1602335,23.0932096,99,Produkcyjna,Białystok
53.8433418,22.9756836,9/1,Żabia,Augustów
52.9915,22.8889,29,Podpułkownika Stanisława Nilskiego-Łapińskiego,Łapy
53.1068454,23.1252825,5A,Stanisława Dubois,Białystok
53.1329221,23.1382396,5,Bohaterów Monte Cassino,Białystok
52.9931,22.8804,15,Nowy Rynek,Łapy
54.1044762,22.9321162,46,Teofila Noniewicza,Suwałki
53.106691,23.1161447,10,Aleja Ignacego Jana Paderewskiego,Białystok
53.1535855,23.1211695,59a,Gajowa,Białystok
52.7715926,23.1929561,47,Adama Mickiewicza,Bielsk Podlaski
53.1277143,23.0989279,17,Upalna,Białystok
53.1259,23.169,15,Świętojańska,Białystok
53.1456788,23.1518912,14,Radzymińska,Białystok
53.1604912,22.0854378,11,Aleja Marszałka Józefa Piłsudskiego,Łomża
53.1352469,23.1180335,16,Hetmańska,Białystok
53.6459977,22.4677168,9,Osiedle Południe,Grajewo
53.6459006,22.467463,9,Osiedle Południe,Grajewo
53.1329621,23.1575954,32,Rynek Kościuszki,Białystok
53.1304596,23.1589159,14/16,Legionowa,Białystok
53.1320478,23.1572383,17,Rynek Kościuszki,Białystok
53.1300371,23.1588215,3,Legionowa,Białystok
53.1327012,23.1586893,22,Rynek Kościuszki,Białystok
53.1327905,23.1576425,32,Rynek Kościuszki,Białystok
53.1326194,23.1598527,8,Rynek Kościuszki,Białystok
53.1337776,23.1577803,10,Spółdzielcza,Białystok
53.1141744,23.1419135,11F,Pogodna,Białystok
53.1140797,23.1401167,2,Zachodnia,Białystok
53.1136194,23.1429735,11C,Pogodna,Białystok
53.1556106,22.0526021,155A,Aleja Legionów,Łomża
53.1085536,23.1299041,4,Świętego Jerzego,Białystok
53.1601817,22.0853965,11,Aleja Marszałka Józefa Piłsudskiego,Łomża
53.1134977,23.1473812,71,Wiejska,Białystok
53.1135649,23.1473636,71,Wiejska,Białystok
53.1145797,23.146673,65,Wiejska,Białystok
53.1153883,23.1460959,55,Wiejska,Białystok
53.1142468,23.1469111,67,Wiejska,Białystok
53.1080201,23.1247649,22,Świętego Jerzego,Białystok
53.1138761,23.139357,2,Zachodnia,Białystok
53.1230431,23.1778354,2,Czesława Miłosza,Białystok
53.1227441,23.1766003,2,Czesława Miłosza,Białystok
53.1217574,23.1772422,2,Czesława Miłosza,Białystok
53.1259139,23.1713744,13,Adama Mickiewicza,Białystok
53.1252512,23.1718911,17,Adama Mickiewicza,Białystok
53.1253312,23.1718592,17,Adama Mickiewicza,Białystok
53.1250863,23.1712534,30,Adama Mickiewicza,Białystok
53.1249659,23.1767185,12,Marii Konopnickiej,Białystok
52.987871,22.8568874,31,Płonkowska,Łapy
52.9965716,22.8929421,11А,Mostowa,Łapy
52.9832225,22.8876983,46E,Cmentarna,Łapy
52.9930806,22.8869656,26,Generała Władysława Sikorskiego,Łapy
52.9922999,22.8803899,1,Nowy Rynek,Łapy
52.9913432,22.8846582,13C,Sikorskiego gen. Władysława,Łapy
52.9910194,22.8795152,21,Główna,Łapy
52.9797914,22.8620639,6A,Brańska,Łapy
52.9859881,22.8655043,1A,Goździkowska,Łapy
52.9841832,22.8908855,8,Marii Konopnickiej,Łapy
52.9841138,22.8877614,46,Cmentarna,Łapy
53.127382,23.0768904,54A,Nowosielska,Białystok
53.1285428,23.0797492,115,Księdza Jerzego Popiełuszki,Białystok
53.12853,23.0785553,117,Księdza Jerzego Popiełuszki,Białystok
53.1205647,23.0842271,1A,Litewska,Białystok
53.1997621,22.4196001,4,,
54.3635641,22.8682545,14,Sejneńska,Wiżajny
54.2163146,22.9128326,44a,Suwalska,Jeleniewo
53.7089352,22.6710056,12,Podchoinki,Rajgród
53.1836644,22.0823161,15,Zjazd,Łomża
53.0726132,22.0141045,2,,Konopki Młode
53.1459551,22.0424786,27,Leśna,Konarzyce
54.0844587,23.0095723,82,,Suwałki
52.9824213,22.8921279,25,Franciszka Żwirki i Stanisława Wigury,Łapy
