lat,lon,housenumber,street,city
54.0473635,19.039976,3,Parkowa,Malbork
54.5764071,16.8807074,4,Armii Krajowej,Ustka
54.125177,17.8766585,60A,,
53.6690474,17.359101,5,Aleja Wojska Polskiego,Człuchów
53.6890248,17.333196,64,,
53.6953906,17.5620281,22,Stary Rynek,Chojnice
54.442284,18.5630972,2,Tadeusza Kościuszki,Sopot
54.4395478,18.5638001,26,Tadeusza Kościuszki,Sopot
54.5336204,17.7502364,8a,Dworcowa,Lębork
54.4410458,18.5649197,6,Fryderyka Chopina,Sopot
54.4418415,18.5637472,7,Tadeusza Kościuszki,Sopot
54.4393147,18.5608299,753,Aleja Niepodległości,Sopot
54.4301674,18.5560656,13/15,Mikołaja Reja,Sopot
54.7220821,18.4153915,5,Aleja Kościuszki,Puck
53.9295378,18.6977104,5,Sambora,Pelplin
53.9272558,18.6902768,7,Plac Wolności,Pelplin
54.5443765,18.4651424,110A,Chylońska,Gdynia
54.5385232,18.470676,269,Morska,Gdynia
54.541846,18.4621595,21,Gniewska,Gdynia
54.3781236,18.6147492,12,Księdza Leona Miszewskiego,Gdańsk
54.5133186,18.5407233,4,Generała Józefa Bema,Gdynia
54.5210699,18.5361181,35,Starowiejska,Gdynia
54.5450569,18.4620653,124,Chylońska,Gdynia
54.376235,18.614084,16,Księdza Leona Miszewskiego,Gdańsk
54.5456831,18.4626905,4a,Plac Dworcowy,Gdynia
53.6980649,17.5806832,12,Aleja Bayeux,Chojnice
53.6989804,17.5679528,1,Huberta Wagnera,Chojnice
53.6941949,17.5619216,10,Sukienników,Chojnice
53.6949269,17.5684582,3,Gdańska,Chojnice
54.7595254,18.5068943,10,Kaperska,Chałupy
54.758708,18.5109053,41,Kaperska,Chałupy
54.360913,18.7119378,27,Wilhelma Stryjewskiego,Gdańsk
54.3612265,18.7147517,29C,Wilhelma Stryjewskiego,Gdańsk
54.0886497,17.8022386,19,,
54.3816454,18.6111459,22,Wajdeloty,Gdańsk
53.6953568,17.5591542,15,Podmurna,Chojnice
54.3455802,18.6493354,2,Kocurki,Gdańsk
53.6992444,17.5696814,1,Huberta Wagnera,Chojnice
53.6936728,17.5641374,3a,Plac Niepodległości,Chojnice
53.6916204,17.5708941,16,Świętopełka,Chojnice
53.6936809,17.5639047,3,Plac Niepodległości,Chojnice
53.6951273,17.5603647,3,31 Stycznia,Chojnice
54.3568971,18.6466655,5,Podwale Grodzkie,Gdańsk
54.3827457,18.600497,141,Aleja Grunwaldzka,Gdańsk
54.3827012,18.6008451,141,Aleja Grunwaldzka,Gdańsk
54.1325386,18.2009472,7,Kościerska,Nowa Karczma
54.1325922,18.2010141,7,Kościerska,Nowa Karczma
54.1326658,18.2014725,7,Kościerska,Nowa Karczma
