lat,lon,housenumber,street,city
50.5647912,21.1676885,30,Rynek,Staszów
50.5642921,21.1664778,21a,Rynek,Staszów
50.5635463,21.1672257,13,Rynek,Staszów
50.5186713,20.5152461,26a,Legionistów,Pińczów
50.8046799,20.4475593,1C,,Chęciny
51.0765899,21.0137383,19,Kolejowa,Wąchock
50.8785764,20.6379243,4,Aleja Tysiąclecia Państwa Polskiego,Kielce
50.9422519,21.3911063,11,Doktora Adama Wardyńskiego,Ostrowiec Świętokrzyski
51.047709,20.8321943,2,Osiedle Marszałka Józefa Piłsudskiego,Suchedniów
50.6606957,20.4680233,54,,
50.8709984,20.6279345,27,Henryka Sienkiewicza,Kielce
50.8712436,20.6032045,1,Prezydenta Stefana Artwińskiego,Kielce
51.0423123,21.0819515,2,Jana Kilińskiego,Starachowice
50.523691,20.7301938,63,,
51.0473647,20.834426,8,Adama Mickiewicza,Suchedniów
50.5236118,20.7300337,63,,
50.97952,20.842,98,,
50.71241,20.65069,139,Tarnowska,Wola Morawicka
50.8870839,20.6641327,18,Radomska,Kielce
50.8002735,20.4616379,28,Plac 2 Czerwca,Chęciny
50.8642674,20.6489881,5,Karola Szymanowskiego,Kielce
50.9104549,21.3885907,84a,,
50.71249,20.65061,139,Tarnowska,Wola Morawicka
50.943149,20.9472942,1A,Wolności,Bodzentyn
51.1370261,20.5737371,101,Marszałka Józefa Piłsudskiego,Stąporków
50.8710254,20.6278803,27,Henryka Sienkiewicza,Kielce
50.5568014,20.0438769,4,Batalionów Chłopskich,Sędziszów
50.3189507,20.3955565,22,Podporucznika Sokoła,Skalbmierz
50.260897,20.7282218,25,,
50.2606061,20.7280459,25,,
50.3209196,20.4002291,3,Stanisława Romanowskiego,
50.5563657,20.0441884,6,Batalionów Chłopskich,Sędziszów
50.8857353,20.6400699,10,Bukowa,
51.1925519,20.4069801,13,Warszawska,Końskie
51.1934765,20.4080639,24,Warszawska,Końskie
51.1927886,20.4113678,8A,Spółdzielcza,Końskie
50.8532823,20.6102297,40,Wojciecha Szczepaniaka,Kielce
50.9390754,21.3887268,5a,Okólna,Ostrowiec Świętokrzyski
50.8825754,20.5816216,3,Edmunda Massalskiego,Kielce
50.8749499,20.6187682,1,Plac Niepodległości,Kielce
50.8747,20.6246,7/9,Czarnowska,Kielce
50.8841431,20.5832806,9,Edmunda Massalskiego,Kielce
50.8508,19.9763,48,Partyzantów,Włoszczowa
51.0541941,21.0731537,6,Bankowa,Starachowice
50.8684743,20.641236,14,Źródłowa,Kielce
50.9407791,21.3703843,13,Stefana Żeromskiego,Ostrowiec Świętokrzyski
50.5208955,20.5262215,23,Plac Wolności,Pińczów
50.4557268,20.7170188,1,Topolowa,Busko-Zdrój
50.9485843,21.388405,7b,Aleja Jana Pawła II,Ostrowiec Świętokrzyski
50.8522711,19.9664756,41,Plac Wolności,Włoszczowa
50.8519109,19.9637201,18,Świeża,Włoszczowa
50.8923692,20.6446658,96,Marszałkowska,Kielce
50.8920784,20.6444352,96,Marszałkowska,Kielce
50.6792956,21.7502028,20,Rynek,Sandomierz
50.8209706,20.4904273,8,Czerwona Góra,
50.5544493,20.047975,40a,Majowa,Sędziszów
50.5571039,20.0439931,1,Batalionów Chłopskich,Sędziszów
50.5569665,20.0446739,5,Batalionów Chłopskich,Sędziszów
50.5570348,20.0443468,3,Batalionów Chłopskich,Sędziszów
50.9806131,20.8355591,117,,
50.6777431,21.7482121,1,Zamkowa,Sandomierz
50.6797812,21.7499565,13/14,Rynek,Sandomierz
50.9025748,20.7816807,178,,
50.682195,21.7509803,2,Zawichojska,Sandomierz
50.6781145,21.7479034,3,Plac Józefa Poniatowskiego,Sandomierz
50.6797721,21.7500299,14,Rynek,Sandomierz
50.9615057,21.3763981,148,Iłżecka,Ostrowiec Świętokrzyski
50.9616239,21.3748666,6,Gustawa Morcinka,Ostrowiec Świętokrzyski
50.9533417,21.3807626,103,Iłżecka,Ostrowiec Świętokrzyski
50.9485599,21.3916807,63a,Aleja Jana Pawła II,Ostrowiec Świętokrzyski
50.9448148,21.385836,40,Polna,Ostrowiec Świętokrzyski
50.948708,21.387791,3a,Aleja Jana Pawła II,Ostrowiec Świętokrzyski
50.94873,21.3877056,3a,Aleja Jana Pawła II,Ostrowiec Świętokrzyski
50.9479246,21.3893065,14,Osiedle Słoneczne,Ostrowiec Świętokrzyski
50.9345078,21.3815797,34,Żabia,Ostrowiec Świętokrzyski
50.9420736,21.3822227,36,Henryka Sienkiewicza,Ostrowiec Świętokrzyski
50.8699587,20.631388,13,Henryka Sienkiewicza,Kielce
50.8527622,19.9663082,1,Przedborska,Włoszczowa
51.1171962,20.856953,12,Cypriana Kamila Norwida,Skarżysko-Kamienna
51.1144125,20.8639761,13,Stefana Okrzei,Skarżysko-Kamienna
51.1141666,20.8643428,18,Stefana Okrzei,
51.1142779,20.865631,25,Juliusza Słowackiego,Skarżysko-Kamienna
51.1134767,20.866042,18,Aleja Tysiąclecia,
51.1136044,20.8663303,18,Aleja Tysiąclecia,
51.1174631,20.8801165,2,Sokola,
50.5197154,20.5256411,4,Plac Wolności,Pińczów
51.1041694,20.8552279,89,Legionów,Skarżysko-Kamienna
51.1027383,20.8564799,104,Legionów,
51.1158305,20.8620693,36,Aleja Marszałka Józefa Piłsudskiego,
51.1169171,20.8582242,30,Aleja Marszałka Józefa Piłsudskiego,Skarżysko-Kamienna
50.7965921,21.4285228,14,Franciszka Mendyka,
51.1148183,20.8610087,20,Zygmunta Krasińskiego,Skarżysko-Kamienna
50.564351,20.0577992,20a,Dworcowa,Sędziszów
50.559792,20.0375326,11,Przemysłowa,Sędziszów
50.5641334,20.0528325,26,Dworcowa,Sędziszów
50.5607487,20.0503945,1,Kardynała Stefana Wyszyńskiego,Sędziszów
50.5616772,20.050877,2,Leśna,Sędziszów
50.5620094,20.0512209,7,Leśna,Sędziszów
51.1169575,20.8816668,90,Aleja Niepodległości,Skarżysko-Kamienna
51.1182102,20.8714545,39,Stefana Żeromskiego,Skarżysko-Kamienna
50.9106375,20.7963436,56,,
51.1147079,20.8609485,20,Zygmunta Krasińskiego,
50.7860043,20.6191599,25,Kielecka,Bilcza
51.1102862,20.861213,2,Zygmunta Krasińskiego,Skarżysko-Kamienna
50.6829809,21.7513188,6,Zawichojska,Sandomierz
