lat,lon,housenumber,street,city
53.785741,20.4976658,1,Plac Konstytucji 3 Maja,Olsztyn
53.7640661,20.4946904,20,Wincentego Pstrowskiego,Olsztyn
53.6871067,21.429639,23,,Krutyń
53.3488957,19.8229104,1,,
53.5044215,19.7562477,27,Krzysztofa Kupnera,Lubawa
53.2598369,19.8212902,3,Zieluńska,Lidzbark
53.3443842,19.8207198,41,,
53.3443781,19.8210573,43,,
53.3446101,19.82144,44,,
53.5048434,19.7500394,2,Grunwaldzka,Lubawa
53.5040146,19.750289,15,Rynek,
53.5034,19.7494,6,Warszawska,Lubawa
53.36001,20.42572,1,Plac Wolności,Nidzica
53.36013,20.4312,17,Adama Mickiewicza,Nidzica
53.4235026,19.592377,1,Rynek,Nowe Miasto Lubawskie
53.3593695,20.4264039,4,Plac Wolności,Nidzica
53.3595657,20.4288327,2,Zamkowa,Nidzica
53.42424,19.58645,10,Adama Mickiewicza,Nowe Miasto Lubawskie
53.36109,20.42741,7,Juliusza Słowackiego,Nidzica
53.35986,20.43298,25,Adama Mickiewicza,Nidzica
53.42876,19.58854,7,Grunwaldzka,Nowe Miasto Lubawskie
53.4074202,19.5921267,4,Henryka Sienkiewicza,Kurzętnik
53.4243589,19.5875746,11B,Adama Mickiewicza,Nowe Miasto Lubawskie
53.3832457,19.9263745,60,Zajeziorna,Rybno
53.4242714,19.5929011,12,Rynek,Nowe Miasto Lubawskie
53.4227879,19.5926837,6,19 Stycznia,Nowe Miasto Lubawskie
53.3607023,20.4280448,3,Adama Mickiewicza,Nidzica
53.424327,19.5876652,11B,Adama Mickiewicza,Nowe Miasto Lubawskie
53.42565,19.58861,20,3 Maja,Nowe Miasto Lubawskie
53.41945,19.59307,20,Jagiellońska,Nowe Miasto Lubawskie
53.3620272,20.426481,6,1 Maja,Nidzica
53.36052,20.42571,1,1 Maja,Nidzica
53.3596705,20.4293942,2,Zamkowa,Nidzica
53.35889,20.42632,10,Plac Wolności,Nidzica
53.3613959,20.4216443,13,Romualda Traugutta,Nidzica
53.35866,20.42249,8,Tadeusza Kościuszki,Nidzica
53.3617152,20.4220872,14,Romualda Traugutta,Nidzica
53.4297226,19.5890029,11,Grunwaldzka,Nowe Miasto Lubawskie
53.36059,20.42613,1,Adama Mickiewicza,Nidzica
53.2333723,20.1802793,2,Zamkowa,
54.3585041,19.6805399,6A,Rybacka,Frombork
53.798547,21.638403,2,,
53.7774916,20.4777949,1,Plac Jedności Słowiańskiej,Olsztyn
53.7705238,20.4801709,44,Niepodległości,Olsztyn
53.7771534,20.4835704,16,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.7776129,20.4817895,16,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.7768791,20.4830796,16,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.7769,20.4839137,16,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.8226906,22.3527047,1,Fryderyka Chopina,Ełk
53.7776902,20.4929453,9,Kołobrzeska,Olsztyn
53.7779759,20.4931832,9,Kołobrzeska,Olsztyn
53.7775648,20.4909071,17,Bartosza Głowackiego,Olsztyn
53.717439,19.3362726,21,Słowiańska,Susz
53.3826062,19.9330644,47,Wyzwolenia,
53.7396797,20.502022,1a,Immanuela Kanta,Olsztyn
53.8408001,21.564132,19,Tałty,Mikołajki
53.7768885,20.48193,16,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.7767694,20.4838544,16,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.8230298,22.3561724,21A,Elizy Orzeszkowej,Ełk
53.8095366,21.9512316,12A,Ełcka,
53.6009791,20.3042922,51,Krzysztofa Mrongowiusza,Olsztynek
53.871841,21.3237341,24,Jaszczurcza Góra,Mrągowo
53.764069,20.4928905,16,Wincentego Pstrowskiego,Olsztyn
53.7418979,20.5000253,6C,Biskupa Tomasza Wilczyńskiego,Olsztyn
53.7748769,20.4748286,23,Prosta,Olsztyn
53.6989642,19.961423,13,Stefana Czarnieckiego,Ostróda
53.7762998,20.4889455,15,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.7505898,20.5055261,1B,Franciszka Barcza,Olsztyn
53.8696,21.3045,6A,Ratuszowa,Mrągowo
53.8696302,21.3045039,6,Ratuszowa,Mrągowo
53.7711254,20.5128117,9,Władysława Leonharda,Olsztyn
54.1794647,19.4052771,134,Pułkownika Stanisława Dąbka,Elbląg
53.8213603,22.347489,34,Wojska Polskiego,Ełk
53.7796,20.4845,4,Adama Mickiewicza,Olsztyn
53.6931236,19.9662585,32,Stefana Czarnieckiego,Ostróda
54.1632056,19.3986733,11,Królewiecka,Elbląg
54.0763,21.3759,3,Romualda Traugutta,Kętrzyn
54.2479423,20.8080751,1А,Warszawska,Bartoszyce
53.7802,20.4894,7,Mazurska,Olsztyn
53.8156023,22.3621998,30,Targowa,Ełk
53.6993932,19.9603787,10,Stefana Czarnieckiego,Ostróda
54.1161148,20.1300234,21,Plac Wolności,Orneta
53.7418967,20.4999717,6C,Biskupa Tomasza Wilczyńskiego,Olsztyn
54.2506413,20.8137046,18,Kętrzyńska,Bartoszyce
53.6942136,19.9654317,39,Stefana Czarnieckiego,Ostróda
53.7542362,20.4929404,6,Mieczysława Orłowicza,Olsztyn
53.7765296,20.48826,11,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.6931008,19.9662738,32,Stefana Czarnieckiego,Ostróda
54.1279365,20.576374,5,Lipowa,Lidzbark Warmiński
54.1300162,20.574571,14,Aleksandra Świętochowskiego,Lidzbark Warmiński
54.2479913,20.8080677,1А,Warszawska,Bartoszyce
54.1159,20.13,21,Plac Wolności,Orneta
54.1866636,19.399417,10,Aleja Odrodzenia,Elbląg
53.7167254,19.3355844,1B,Piastowska,Susz
53.7782539,20.4778134,1,Feliksa Nowowiejskiego,Olsztyn
54.1268479,20.5753577,25,Wysokiej Bramy,Lidzbark Warmiński
53.7840368,20.4936819,1B,Plac generała Józefa Bema,Olsztyn
53.6930737,19.9662898,32,Stefana Czarnieckiego,Ostróda
53.6901951,19.9756431,4,Piastowska,Ostróda
53.9116,19.9274,2,Plac Jana Pawła II,Morąg
53.7795928,20.4841857,4,Adama Mickiewicza,Olsztyn
53.9139426,19.927301,16,Adama Mickiewicza,Morąg
54.3839656,19.8284823,4,Tadeusza Kościuszki,Braniewo
53.6221625,21.8132293,48,Warszawska,Pisz
53.9115885,19.9274654,2,Plac Jana Pawła II,Morąg
53.8213753,22.3475769,34,Wojska Polskiego,Ełk
53.7765296,20.4882493,11/1,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
54.0784892,21.3741111,11,Plac Marszałka Józefa Piłsudskiego,Kętrzyn
54.0784729,21.3741343,11,Plac Marszałka Józefa Piłsudskiego,Kętrzyn
53.704997,20.9589164,6,Pasymska,Dźwierzuty
53.7841549,20.1273792,33,,
53.811229,22.360881,40,Jana Kilińskiego,Ełk
53.8279161,20.310268,15,Plac 650-lecia Jonkowa,Jonkowo
53.8067345,20.4175258,47,Kanarkowa,Olsztyn
54.0411365,22.5314543,9,,
53.3564218,19.8608671,10,,
54.03609,21.7644219,11,Olsztyńska,
54.2443722,22.045965,2,1 Maja,Banie Mazurskie
54.2820889,22.2847361,11,,
54.3515769,22.6986614,2,1 Maja,Żytkiejmy
54.1268862,20.5811034,39,Hoża,
54.12815,20.5808518,2b,Spółdzielców,
53.7397326,20.4793869,4,Generała Józefa Hallera,Olsztyn
53.7107599,21.3762112,37B,,
53.7663698,20.4862385,10,Wincentego Pstrowskiego,Olsztyn
53.6328551,21.7931878,40A,Olsztyńska,
53.7348054,20.4905244,77d,Jarocka,Olsztyn
53.8054,20.0847,4,Mazurska,Łukta
53.8046733,20.0829131,2,Warszawska,
53.8057879,20.0805925,2,Kościelna,Łukta
54.3140397,22.3305216,3,Stadionowa,Gołdap
53.7639162,20.4990423,31,Wincentego Pstrowskiego,Olsztyn
53.777404,20.4827738,16,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.7770823,20.4822674,16,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.7768943,20.4836186,16,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.7770158,20.4820499,16,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.7775724,20.4824261,16,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
54.2500914,20.8068291,51,Bohaterów Warszawy,Bartoszyce
53.8723312,22.6720283,1,Szkolna,Kalinowo
53.2354649,20.17301,31,Władysława Jagiełły,Działdowo
53.2343194,20.1820824,12,Zamkowa,Działdowo
54.386532,20.6358366,35,Красноармейская улица,Багратионовск
54.3864985,20.6355278,37,Красноармейская улица,Багратионовск
53.9568224,20.4844361,7,,
53.7795238,20.5023703,32,Kołobrzeska,Olsztyn
53.7785771,20.4964799,13,Kołobrzeska,Olsztyn
53.7795392,20.5016878,7a,Dworcowa,Olsztyn
53.7769794,20.5061552,6,Pana Tadeusza,Olsztyn
54.1576481,19.3940053,26,Świętego Ducha,Elbląg
54.1589779,19.397382,10,Kowalska,Elbląg
53.7803099,20.4816926,3/4,Bogumiła Linki,Olsztyn
53.7774556,20.4825293,16,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.7781828,20.4793699,5,11 Listopada,Olsztyn
53.7778816,20.4814917,10/14,Aleja Marszałka Józefa Piłsudskiego,Olsztyn
53.7417881,20.4958405,8,Biskupa Tomasza Wilczyńskiego,Olsztyn
53.7581595,20.4873774,21a,Aleja Generała Władysława Sikorskiego,Olsztyn
53.7648322,20.4914755,16a,Wincentego Pstrowskiego,Olsztyn
53.765005,20.4906681,14a,Wincentego Pstrowskiego,Olsztyn
53.7659009,20.4947898,68,Dworcowa,Olsztyn
53.5937238,21.6804856,12,,
53.7656597,20.4295427,70h,Żytnia,Olsztyn
53.7642084,20.5027784,15,Kardynała Stefana Wyszyńskiego,Olsztyn
53.8151322,22.3624429,30,Targowa,
53.8343312,22.3968912,86,Suwalska,Ełk
53.8326155,22.3924686,3,Przemysłowa,Ełk
53.7732563,20.5020429,39,Dworcowa,Olsztyn
53.8277979,22.3469529,12;14,Marszałka Józefa Piłsudskiego,Ełk
53.8292631,22.3528682,19,Gdańska,Ełk
53.823621,22.353898,17B,Armii Krajowej,Ełk
53.8324417,22.346741,1,Grodzieńska,Ełk
53.8285956,22.3655359,15,Suwalska,Ełk
53.8308818,22.3791483,50,Suwalska,Ełk
53.8228852,22.3534664,20,Armii Krajowej,Ełk
53.8275065,22.3470835,12;14,Marszałka Józefa Piłsudskiego,Ełk
53.8249384,22.3502511,15,Adama Mickiewicza,Ełk
53.8235334,22.3441166,8,Generała Kazimierza Pułaskiego,Ełk
53.8251439,22.3442127,73A,Wojska Polskiego,Ełk
