lat,lon,housenumber,street,city
54.1769604,16.1968882,34,Gnieźnieńska,Koszalin
53.4291023,14.5495106,6a,Edmunda Bałuki,
53.2331548,14.4882178,2,Czechosłowacka,
53.3819129,14.6627265,5,Kazimierza Wierzyńskiego,
53.4339759,14.5329174,111,aleja Bohaterów Warszawy,
53.4318902,14.5573668,22,Jana Matejki,Szczecin
53.4238149,14.5562381,30,Księdza kardynała Stefana Wyszyńskiego,unpaved
53.4277826,14.5506514,67,Kaszubska,Szczecin
53.4296474,14.5504114,3,Kaszubska,Szczecin
53.4289451,14.5539001,18,plac Żołnierza Polskiego,Szczecin
53.4266235,14.5459709,5,aleja Wojska Polskiego,Szczecin
53.4272192,14.5357933,57/1,Bolesława Krzywoustego,Szczecin
53.4352133,14.534349,1,Franciszka Tarczyńskiego,
53.3674209,14.6546703,16,Brązowa,Szczecin
53.3811588,14.6671929,36,Andrzeja Struga,Szczecin
53.4111432,14.5215579,73,Mieszka I,Szczecin
53.4107323,14.5231485,73,Mieszka I,Szczecin
53.3777018,14.6564742,83,Lucjana Rydla,
53.3957067,14.6367954,23,Przestrzenna,Szczecin
53.2082,14.387179,119,Pommernstraße,Gartz (Oder)
52.874559,14.141558,18,Dorfstraße,Bad Freienwalde (Oder)
53.4403291,14.5133608,2A,Księcia Józefa Poniatowskiego,Szczecin
53.4290505,14.5441588,1D,plac Zgody,Szczecin
53.4390947,14.538596,19a,Monte Cassino,
53.4270049,14.5467913,1,Stanisława Więckowskiego,Szczecin
53.4348673,14.533137,38/2,5 Lipca,Szczecin
53.3669439,14.649328,73,Brązowa,Szczecin
53.3667855,14.6605919,14,Chłopska,
53.4281485,14.5545244,1,Staromłyńska,
53.4359638,14.5335776,18,Adama Mickiewicza,
53.4039235,14.500125,67,Krakowska,Szczecin
53.4041415,14.4995671,68,Krakowska,Szczecin
53.4824254,14.5223457,119,Miodowa,Szczecin
53.4827529,14.5226802,121a,Miodowa,Szczecin
53.4833431,14.5219698,121e,Miodowa,Szczecin
53.4826515,14.5227966,121,Miodowa,Szczecin
53.4115829,14.5788337,11,Gdańska,Szczecin
53.4113462,14.5794149,11d,Gdańska,Szczecin
53.411461,14.5791423,11b,Gdańska,Szczecin
53.4114036,14.5792854,11c,Gdańska,Szczecin
53.4115282,14.5789767,11a,Gdańska,Szczecin
53.411236,14.579716,11f,Gdańska,Szczecin
53.4111778,14.5798635,11g,Gdańska,Szczecin
53.4112988,14.5795594,11e,Gdańska,Szczecin
53.3942053,14.6635064,18,Anieli Krzywoń,
53.4311048,14.5420992,49,aleja Wojska Polskiego,
53.4280532,14.5550612,27,Staromłyńska,
53.4275007,14.5366986,16,aleja Piastów,Szczecin
53.3841774,14.6462027,36d,Bagienna,
53.4439719,14.5446614,117,aleja Wyzwolenia,Szczecin
53.0121584,14.2234717,2,Am Speicher,Schwedt/Oder
52.8690987,14.1369914,23c,Vogtlandstraße,Bad Freienwalde (Oder)
53.4978721,14.4814882,3,Wiejska,Pilchowo
53.0137159,14.2806884,15,,
53.4295713,14.5509463,7,plac Lotników,
53.8444918,14.6162438,22,Zamkowa,Wolin
53.9095507,14.2549302,18/c,Bolesława Chrobrego,
53.2522642,14.4869645,8,Piastów,
53.9655287,14.5723665,15,Nowowiejska,Wisełka
53.4304295,14.5545229,10,aleja Wyzwolenia,Szczecin
53.427517,14.5565901,26/3,Mariacka,Szczecin
53.4239776,14.5598816,7,Sienna,Szczecin
53.425888,14.548348,1,plac Zwycięstwa,Szczecin
53.4292808,14.5427957,28,aleja Wojska Polskiego,Szczecin
53.3771431,14.6615787,73,Łubinowa,
53.3957897,14.6669453,24,Emilii Gierczak,Szczecin
54.2525488,16.0214641,9,Plażowa,Mielenko
53.4275023,14.5524425,29,aleja Niepodległości,Szczecin
53.429097,14.5437023,29,aleja Wojska Polskiego,Szczecin
53.4269753,14.541794,9-10,Bolesława Krzywoustego,Szczecin
53.4320644,14.5475842,38,Śląska,Szczecin
53.3821866,14.6530145,3,Jasna,Szczecin
53.3849633,14.6420595,60,Gryfińska,Szczecin
53.3955415,14.615961,1,Eskadrowa,Szczecin
53.6519338,14.6243001,2,Władysława Sikorskiego,Stepnica
53.4210002,14.5157823,25A,Ku Słońcu,Szczecin
53.4223245,14.4984401,41u5,Ku Słońcu,Szczecin
53.4283914,14.5013773,2,26 Kwietnia,Szczecin
53.4242829,14.5512652,3,aleja Niepodległości,Szczecin
53.4218266,14.5501886,25/27,3 Maja,Szczecin
53.4567725,14.5695767,6,Obotrycka,Szczecin
53.3742731,14.6637514,13,Kosynierów,Szczecin
54.2098766,16.1528786,150a,Morska,Koszalin
53.4311512,14.5478754,9,Śląska,
53.4315797,14.548052,12,Śląska,
53.4304071,14.5536553,11,aleja Wyzwolenia,Szczecin
53.3955061,14.6703959,12,Glazurowa,Szczecin
53.3957011,14.669511,32a,Emilii Gierczak,Szczecin
53.3494797,14.9934841,5,Przemysłowa,
53.4357862,14.5388882,75,aleja Wojska Polskiego,
53.4303504,14.5489575,6,Jagiellońska,Szczecin
53.3778194,14.6632286,92,Jarosława Iwaszkiewicza,Szczecin
53.3767425,14.6623027,59,Zaranie,
53.3388897,15.0346998,16,Kardynała Stefana Wyszyńskiego,Stargard
53.3826952,14.6603568,18,Andrzeja Struga,Szczecin
53.4303348,14.5426362,39,aleja Wojska Polskiego,Szczecin
53.3814815,14.6334653,30a,Młodzieży Polskiej,Szczecin
53.3792081,14.6492741,72,Jasna,Szczecin
53.4314775,14.5108271,14,Świerszczowa,Szczecin
53.4322679,14.511814,20,Santocka,Szczecin
53.4326282,14.5117086,41,Stanisława Ignacego Witkiewicza,Szczecin
53.4327066,14.5116977,41,Stanisława Ignacego Witkiewicza,Szczecin
53.4299024,14.5543288,6,aleja Wyzwolenia,Szczecin
53.4302927,14.5545245,10,aleja Wyzwolenia,Szczecin
53.4365594,14.5578862,26,Bazarowa,Szczecin
53.435402,14.5560711,21a,Jacka Malczewskiego,Szczecin
53.4352925,14.5560855,21,Jacka Malczewskiego,Szczecin
53.4353279,14.5567782,20,Jacka Malczewskiego,Szczecin
53.4357655,14.5560234,21d,Jacka Malczewskiego,Szczecin
53.4355242,14.5560551,21b,Jacka Malczewskiego,Szczecin
53.435637,14.5560402,21c,Jacka Malczewskiego,Szczecin
53.4355596,14.5567478,20b,Jacka Malczewskiego,Szczecin
53.4356724,14.556733,20c,Jacka Malczewskiego,Szczecin
53.4354374,14.5567638,20a,Jacka Malczewskiego,Szczecin
53.4358009,14.5567161,20d,Jacka Malczewskiego,Szczecin
53.4353505,14.5574858,19,Jacka Malczewskiego,Szczecin
53.4353746,14.5581961,18,Jacka Malczewskiego,Szczecin
53.4355821,14.5574554,19b,Jacka Malczewskiego,Szczecin
53.4356949,14.5574405,19c,Jacka Malczewskiego,Szczecin
53.4354599,14.5574714,19a,Jacka Malczewskiego,Szczecin
53.4358235,14.5574237,19d,Jacka Malczewskiego,Szczecin
53.4356062,14.5581656,18b,Jacka Malczewskiego,Szczecin
53.435719,14.5581508,18c,Jacka Malczewskiego,Szczecin
53.4354841,14.5581817,18a,Jacka Malczewskiego,Szczecin
53.4358476,14.5581339,18d,Jacka Malczewskiego,Szczecin
53.4354265,14.5588721,17,Jacka Malczewskiego,Szczecin
53.4356582,14.5588417,17b,Jacka Malczewskiego,Szczecin
53.4358995,14.55881,17d,Jacka Malczewskiego,Szczecin
53.435771,14.5588269,17c,Jacka Malczewskiego,Szczecin
53.435536,14.5588577,17a,Jacka Malczewskiego,Szczecin
53.455402,14.4965765,141,Tadeusza Zawadzkiego,Szczecin
53.4424966,14.5279812,134,aleja Wojska Polskiego,Szczecin
53.435587,14.554593,30/1,aleja Wyzwolenia,
53.4358516,14.5543342,32,aleja Wyzwolenia,Szczecin
53.430218,14.542872,39,aleja Wojska Polskiego,Szczecin
53.4300478,14.5430071,37,aleja Wojska Polskiego,Szczecin
53.5425857,14.5639275,3,Przybora,Police
53.5423828,14.5637161,1,Przybora,Police
53.5428535,14.5634686,24,Józefa Piłsudskiego,Police
53.5428677,14.5632443,22,Józefa Piłsudskiego,Police
53.5427055,14.5639901,5,Przybora,Police
53.3818017,14.6314758,38a,Batalionów Chłopskich,
53.5425228,14.5626944,51,Bankowa,Police
53.5428362,14.5628943,55,Bankowa,Police
53.5426558,14.5627336,53,Bankowa,Police
53.542943,14.5620553,20,Józefa Piłsudskiego,Police
53.5426334,14.5615132,43,Bankowa,Police
53.5428229,14.5615384,45,Bankowa,Police
53.5425779,14.5622558,47,Bankowa,Police
53.5427456,14.562302,49,Bankowa,Police
